	MV1_02_Oberseite TIS	MV2_01_Oberseite TIS	MV2_02_Oberseite TIS	MV3_01_Oberseite TIS	MV3_03_Oberseite TIS	MV4_01_Oberseite TIS	MV4_03_Oberseite TIS
1545	40.5	53.0	47.6	50.6	31.4	60.2	40.4
1550	40.5	52.9	47.6	50.7	31.4	60.3	40.4
1555	40.5	52.9	47.6	50.7	31.5	60.3	40.5
1560	40.5	52.9	47.5	50.8	31.6	60.3	40.5
1565	40.5	52.9	47.5	50.9	31.6	60.4	40.6
1570	40.6	52.9	47.5	50.9	31.7	60.4	40.6
1575	40.6	52.9	47.5	51.0	31.8	60.4	40.6
1580	40.6	52.9	47.5	51.1	31.8	60.5	40.7
1585	40.6	52.9	47.5	51.1	31.9	60.5	40.7
1590	40.6	52.9	47.5	51.2	32.0	60.5	40.7
1595	40.6	52.8	47.5	51.3	32.0	60.5	40.8
1600	40.6	52.8	47.5	51.3	32.1	60.6	40.8
1605	40.7	52.8	47.4	51.4	32.1	60.6	40.8
1610	40.7	52.8	47.4	51.5	32.2	60.6	40.8
1615	40.7	52.8	47.4	51.5	32.3	60.6	40.9
1620	40.7	52.8	47.4	51.6	32.3	60.6	40.9
1625	40.7	52.8	47.4	51.7	32.4	60.6	40.9
1630	40.7	52.8	47.4	51.7	32.5	60.6	40.9
1635	40.7	52.7	47.4	51.8	32.5	60.6	40.9
1640	40.7	52.7	47.3	51.9	32.6	60.6	40.9
1645	40.8	52.7	47.3	51.9	32.7	60.6	40.9
1650	40.8	52.7	47.3	52.0	32.7	60.6	41.0
1655	40.8	52.7	47.3	52.1	32.8	60.6	41.0
1660	40.8	52.7	47.3	52.1	32.9	60.6	41.0
1665	40.8	52.6	47.2	52.2	32.9	60.6	41.0
1670	40.8	52.6	47.2	52.3	33.0	60.6	41.0
1675	40.8	52.6	47.2	52.3	33.0	60.6	41.0
1680	40.8	52.6	47.2	52.4	33.1	60.6	41.0
1685	40.9	52.6	47.2	52.4	33.2	60.5	41.0
1690	40.9	52.6	47.2	52.5	33.2	60.5	41.0
1695	40.9	52.5	47.1	52.6	33.3	60.5	40.9
1700	40.9	52.5	47.1	52.6	33.4	60.5	40.9
