Wavelength [nm]	MV4_03 [%]	MV4_02 [%]	MV4_01 [%]	MV3_03 [%]	MV3_02 [%]	MV3_01 [%]	MV2_02 [%]	MV2_01 [%]	MV1_02 [%]	MV1_01 [%]
2340	30.53541	47.25569	34.56733	36.65158	34.56733	33.27655	31.1365	31.23439	33.65659	40.0082
2350	30.29922	46.87134	34.57288	36.64034	34.57288	33.08769	30.54315	30.91314	33.90268	40.13814
2360	29.56583	46.6501	33.13431	36.60121	33.13431	32.42963	30.77037	30.1153	33.83209	39.90724
2370	29.21466	46.37465	32.91975	35.96837	32.91975	32.19091	30.21387	29.75795	33.65634	39.76765
2380	29.32746	45.912	31.8674	35.40077	31.8674	31.76219	29.36849	29.38962	32.83628	39.61778
2390	28.80188	45.88972	31.52793	34.71664	31.52793	31.5057	28.7321	29.60739	32.53313	39.59698
2400	29.05323	45.8212	30.27591	34.31359	30.27591	32.06862	28.56079	29.38075	32.72192	39.74342
2410	28.99094	45.44612	29.68703	34.30083	29.68703	32.02555	28.45334	29.21853	32.58145	39.50416
2420	29.00045	45.0603	29.12656	34.38008	29.12656	32.00808	28.40301	29.07732	32.41669	39.21373
2430	29.08177	44.66374	28.59449	34.55135	28.59449	32.01621	28.40981	28.95714	32.22763	38.87211
2440	29.23489	44.25643	28.09082	34.81462	28.09082	32.04994	28.47374	28.85798	32.01429	38.47931
2450	29.45982	43.83837	27.61556	35.16991	27.61556	32.10927	28.59479	28.77983	31.77665	38.03533
2460	29.75655	43.40957	27.1687	35.61721	27.1687	32.19419	28.77297	28.72271	31.51472	37.54017
2470	30.12509	42.97003	26.75024	36.15652	26.75024	32.30472	29.00827	28.68661	31.2285	36.99383
2480	30.56543	42.51974	26.36019	36.78784	26.36019	32.44084	29.3007	28.67152	30.91798	36.39631
2490	31.07757	42.05871	25.99854	37.51117	25.99854	32.60256	29.65026	28.67746	30.58318	35.74761
2500	31.66152	41.58693	25.6653	38.32652	25.6653	32.78987	30.05694	28.70442	30.22408	35.04772
