	MV1_02_Oberseite DIFF	MV2_01_Oberseite DIFF	MV2_02_Oberseite DIFF	MV3_01_Oberseite DIFF	MV3_03_Oberseite DIFF	MV4_01_Oberseite DIFF	MV4_03_Oberseite DIFF
655	40.9	59.2	55.5	44.4	24.9	61.8	39.6
650	41.0	59.3	55.6	44.4	25.0	61.7	39.5
645	41.0	59.3	55.7	44.4	25.1	61.7	39.5
640	41.0	59.4	55.7	44.4	25.1	61.7	39.5
635	41.0	59.4	55.8	44.4	25.2	61.6	39.5
630	41.0	59.5	55.8	44.4	25.2	61.6	39.4
625	41.0	59.5	55.9	44.4	25.2	61.5	39.4
620	40.9	59.6	55.9	44.4	25.3	61.5	39.3
615	40.9	59.6	56.0	44.4	25.3	61.4	39.3
610	40.9	59.7	56.0	44.4	25.4	61.4	39.3
605	40.9	59.7	56.0	44.4	25.4	61.3	39.2
600	40.8	59.7	56.0	44.3	25.4	61.3	39.1
595	40.8	59.7	56.0	44.3	25.4	61.2	39.0
590	40.7	59.6	56.0	44.2	25.4	61.1	38.9
585	40.6	59.6	55.9	44.1	25.3	61.0	38.7
580	40.5	59.6	55.9	44.0	25.3	60.9	38.6
575	40.4	59.5	55.9	43.9	25.2	60.7	38.4
570	40.3	59.4	55.8	43.8	25.1	60.6	38.2
565	40.2	59.4	55.7	43.6	25.1	60.4	38.0
560	40.1	59.3	55.7	43.5	25.0	60.2	37.9
555	39.9	59.3	55.6	43.4	24.9	60.1	37.7
550	39.8	59.3	55.6	43.2	24.9	59.9	37.5
545	39.7	59.2	55.5	43.0	24.9	59.7	37.4
540	39.6	59.2	55.5	42.9	24.9	59.5	37.2
535	39.4	59.2	55.4	42.7	24.9	59.2	37.1
530	39.2	59.0	55.3	42.4	24.7	59.0	36.8
525	39.0	58.9	55.1	42.2	24.5	58.8	36.5
520	38.9	58.8	55.0	41.9	24.3	58.5	36.2
515	38.7	58.7	54.9	41.7	24.2	58.3	35.9
510	38.5	58.6	54.8	41.5	24.0	58.1	35.7
505	38.3	58.5	54.7	41.2	23.9	57.9	35.4
500	38.2	58.5	54.6	41.0	23.9	57.7	35.3
495	38.0	58.5	54.7	40.8	23.9	57.5	35.2
490	37.9	58.5	54.6	40.6	23.9	57.3	35.0
485	37.7	58.5	54.5	40.3	23.8	57.0	34.8
480	37.6	58.4	54.5	40.1	23.7	56.8	34.6
475	37.4	58.4	54.4	39.8	23.7	56.6	34.4
470	37.2	58.4	54.4	39.6	23.7	56.4	34.3
465	37.1	58.4	54.3	39.4	23.7	56.1	34.1
460	37.0	58.4	54.3	39.2	23.7	55.9	34.0
455	36.8	58.4	54.3	39.0	23.7	55.7	33.8
450	36.7	58.4	54.3	38.8	23.7	55.5	33.7
445	36.6	58.5	54.2	38.6	23.7	55.3	33.6
440	36.5	58.5	54.2	38.3	23.8	55.1	33.5
435	36.3	58.5	54.2	38.2	23.9	54.9	33.5
430	36.2	58.6	54.3	38.0	24.0	54.7	33.5
425	36.2	58.8	54.5	37.9	24.3	54.5	33.6
420	36.0	58.7	54.3	37.6	24.5	54.3	33.6
415	35.8	58.5	54.2	37.2	24.6	53.9	33.6
410	35.5	58.4	54.0	36.9	24.7	53.6	33.5
405	35.3	58.2	53.8	36.6	24.8	53.4	33.4
400	35.1	58.0	53.6	36.3	24.8	53.2	33.3
395	34.8	57.7	53.3	36.0	24.8	53.1	33.2
390	34.6	57.4	53.1	35.7	24.7	52.9	33.0
385	34.3	57.2	52.9	35.4	24.8	52.7	32.9
380	34.1	57.0	52.7	35.2	24.9	52.4	32.9
375	34.0	56.8	52.5	34.9	24.9	52.1	32.8
370	33.8	56.7	52.3	34.7	25.0	51.7	32.8
365	33.6	56.5	52.2	34.5	25.1	51.3	32.8
360	33.5	56.5	52.2	34.4	25.2	50.8	32.9
355	33.5	56.4	52.1	34.3	25.3	50.3	32.9
350	33.4	56.4	52.1	34.2	25.4	49.7	33.0
345	33.1	56.0	51.8	33.9	25.3	49.4	33.0
340	32.8	55.5	51.3	33.5	25.1	48.9	32.7
335	32.4	54.8	50.7	33.1	24.8	48.5	32.3
330	32.4	55.0	50.8	33.2	24.9	48.3	32.4
325	32.5	55.1	50.9	33.2	24.9	47.8	32.5
320	32.6	55.3	51.1	33.4	25.0	46.7	32.6
315	32.9	55.7	51.5	33.6	25.2	45.4	32.8
310	33.3	56.4	52.1	34.0	25.5	44.1	33.2
305	33.8	57.3	53.0	34.6	26.0	43.1	33.8
300	34.1	57.8	53.4	34.9	26.2	42.3	34.1
